id,main_category,category,sub_category,item_name,standard,unit,crew_composition_text,productivity_type,skill_worker_1_pum,skill_worker_1_count,skill_worker_2_pum,skill_worker_2_count,special_worker_pum,special_worker_count,common_worker_pum,common_worker_count,equipment_pum,equipment_count,pumsam_workload,molit_workload
55,가설공사,동바리,시스템 동바리,"2-6-3 시스템 동바리 설치 및 해체('01년 신설, '09, '16년 보완)",해체: 10m 초과 ∼ 20m 이하,공㎡,"형틀목공 4인, 보통인부 1인 기준 크레인(15ton) 0.5대 기준",인력 생산성,0.68,2.0,0.0,0.0,0.0,0.0,0.21,2.0,0.25,1.0,140.0,0.0
57,가설공사,동바리,시스템 동바리,"2-6-3 시스템 동바리 설치 및 해체('01년 신설, '09, '16년 보완)",해체: 20m 초과 ~ 30m 이하,공㎡,"형틀목공 4인, 보통인부 1인 기준 크레인(20ton) 0.5대 기준",인력 생산성,0.87,2.0,0.0,0.0,0.0,0.0,0.27,2.0,0.28,1.0,115.0,0.0
51,가설공사,동바리,시스템 동바리,"2-6-3 시스템 동바리 설치 및 해체('01년 신설, '09, '16년 보완)","해체: 5m 이하, 간격 0.6m~1.2m",공㎡,"형틀목공 4인, 보통인부 1인 기준",인력 생산성,0.58,2.0,0.0,0.0,0.0,0.0,0.18,2.0,0.17,1.0,150.0,0.0
53,가설공사,동바리,시스템 동바리,"2-6-3 시스템 동바리 설치 및 해체('01년 신설, '09, '16년 보완)","해체: 5m 초과 ~ 10m이하, 간격 0.6m~1.2m",공㎡,"형틀목공 4인, 보통인부 1인 기준 크레인(15ton) 0.5대 기준",인력 생산성,0.58,2.0,0.0,0.0,0.0,0.0,0.18,2.0,0.17,1.0,150.0,0.0
45,가설공사,동바리,토목,"2-6-1 강관 동바리 설치 및 해체(토목)('09, '16년 보완)",2.5m 이하,공㎡,"형틀목공 3인, 보통인부 1인 기준",인력 생산성,0.54,3.0,0.0,0.0,0.0,0.0,0.21,1.0,0.0,0.0,50.0,0.0
46,가설공사,동바리,토목,"2-6-1 강관 동바리 설치 및 해체(토목)('09, '16년 보완)","2.5m 초과 ~ 3.5m 이하, 간격 0.6m~0.8m",공㎡,"형틀목공 3인, 보통인부 1인 기준",인력 생산성,0.58,3.0,0.0,0.0,0.0,0.0,0.23,1.0,0.0,0.0,45.0,51.0
47,가설공사,동바리,토목,"2-6-1 강관 동바리 설치 및 해체(토목)('09, '16년 보완)",3.5m 초과 ~ 4.2m 이하,공㎡,"형틀목공 3인, 보통인부 1인 기준",인력 생산성,0.63,3.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,40.0,0.0
34,가설공사,비계,강관비계,"2-7-1 강관비계 설치 및 해체('09, '16년 보완)",10m 이하 (쌍줄비계),㎡,"비계공 3인, 보통인부 1인 기준",인력 생산성,0.05,3.0,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,55.0,60.0
35,가설공사,비계,강관비계,"2-7-1 강관비계 설치 및 해체('09, '16년 보완)",10m 초과 ~ 20m 이하 (쌍줄비계),㎡,"비계공 3인, 보통인부 1인 기준",인력 생산성,0.06,3.0,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,45.0,0.0
36,가설공사,비계,강관비계,"2-7-1 강관비계 설치 및 해체('09, '16년 보완)",20m 초과 ~ 30m 이하 (쌍줄비계),㎡,"비계공 3인, 보통인부 1인 기준",인력 생산성,0.07,3.0,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,40.0,0.0
37,가설공사,비계,강관틀비계,2-7-3 강관틀 비계 설치 및 해체('16년 보완),10m 이하,㎡,"비계공 1인, 보통인부 1인 기준",인력 생산성,0.02,3.0,0.0,0.0,0.0,0.0,0.01,1.0,0.0,0.0,150.0,0.0
38,가설공사,비계,강관틀비계,2-7-3 강관틀 비계 설치 및 해체('16년 보완),10m 초과 ~ 20m 이하,㎡,"비계공 1인, 보통인부 1인 기준",인력 생산성,0.03,3.0,0.0,0.0,0.0,0.0,0.01,1.0,0.0,0.0,100.0,0.0
41,가설공사,비계,시스템비계,2-7-2 시스템비계 설치 및 해체(인력),설치: 10m 초과~20m 이하,㎡,"비계공 4인, 보통인부 1인 기준",인력 생산성,0.06,4.0,0.0,0.0,0.0,0.0,0.01,1.0,0.0,0.0,130.0,0.0
39,가설공사,비계,시스템비계,2-7-2 시스템비계 설치 및 해체(인력),설치: 10m이하,㎡,"비계공 4인, 보통인부 1인 기준",인력 생산성,0.04,4.0,0.0,0.0,0.0,0.0,0.01,1.0,0.0,0.0,150.0,100.0
43,가설공사,비계,시스템비계,2-7-2 시스템비계 설치 및 해체(인력),설치: 20m 초과 ~ 30m 이하,㎡,"비계공 4인, 보통인부 1인 기준",인력 생산성,0.05,4.0,0.0,0.0,0.0,0.0,0.01,1.0,0.0,0.0,110.0,0.0
42,가설공사,비계,시스템비계,2-7-2 시스템비계 설치 및 해체(인력),해체: 10m 초과~20m 이하,㎡,"비계공 2인, 보통인부 2인 기준",인력 생산성,0.04,4.0,0.0,0.0,0.0,0.0,0.01,1.0,0.0,0.0,130.0,0.0
